id,type,identifier,label,familyName,givenName,sortLabel,officialFamilyName,officialGivenName
person/1395,Person,1395,The Lord O'HAGAN,O'Hagan,The Lord,OHAGAN,,
person/96834,Person,96834,Iliana IVANOVA,Ivanova,Iliana,IVANOVA ILIANA,Ивaнова,Илиaна
person/573,Person,573,Pierre BILLOTTE,Billotte,Pierre,BILLOTTE,,
person/1344,Person,1344,Carles-Alfred GASÒLIBA I BÖHM,Gasòliba i Böhm,Carles-Alfred,GASOLIBA I BÖHM,,
person/257092,Person,257092,Hanna GEDIN,Gedin,Hanna,GEDINH,,
person/622,Person,622,Arthur GAILLY,Gailly,Arthur,GAILLY,,
person/34482,Person,34482,Alexandru-Ioan MORȚUN,Morțun,Alexandru-Ioan,MORTUN,,
person/233862,Person,233862,Matjaž NEMEC,Nemec,Matjaž,NEMECM,,
person/257102,Person,257102,Giorgio GORI,Gori,Giorgio,GORIG,,
person/80,Person,80,Frank TOMNEY,Tomney,Frank,TOMNEY,,
person/28175,Person,28175,Yannick VAUGRENARD,Vaugrenard,Yannick,VAUGRENARD,,
person/1435,Person,1435,(Paddy) Patrick Joseph LALOR,Lalor,(Paddy) Patrick Joseph,LALOR,,
person/257135,Person,257135,Valentina PALMISANO,Palmisano,Valentina,PALMISANOV,,
person/97017,Person,97017,Ulrike LUNACEK,Lunacek,Ulrike,LUNACEK,,
person/111011,Person,111011,Anthea MCINTYRE,McIntyre,Anthea,MACINTYRE,,
person/124830,Person,124830,Marcus PRETZELL,Pretzell,Marcus,PRETZELL,,
person/679,Person,679,Hughes TATILON,Tatilon,Hughes,TATILON,,
person/28240,Person,28240,Helga TRÜPEL,Trüpel,Helga,TRUPEL,,
person/96898,Person,96898,Ioannis A. TSOUKALAS,Tsoukalas,Ioannis A.,TSOUKALAS,Τσουκαλάς,Ιωάννης Α.
person/4462,Person,4462,Clemente MASTELLA,Mastella,Clemente,MASTELLA,,
person/28573,Person,28573,Nikolaos VAKALIS,Vakalis,Nikolaos,VAKALIS,ΒΑΚΑΛΗΣ,ΝΙΚΟΛΑΟΣ
person/34174,Person,34174,Iles BRAGHETTO,Braghetto,Iles,BRAGHETTO,,
person/2216,Person,2216,Françoise SEILLIER,Seillier,Françoise,SEILLIER,,
person/325,Person,325,Hermann KOPF,Kopf,Hermann,KOPF,,
person/2232,Person,2232,Axel SCHÄFER,Schäfer,Axel,SCHAEFER,,
person/124695,Person,124695,Jan KELLER,Keller,Jan,KELLER JAN,,
person/1723,Person,1723,Robert CHAMBEIRON,CHAMBEIRON,Robert,CHAMBEIRON,,
person/28617,Person,28617,Inese VAIDERE,Vaidere,Inese,VAIDERE,,
person/28359,Person,28359,Jana BOBOŠÍKOVÁ,Bobošíková,Jana,BOBOSIKOVA,,
person/1024,Person,1024,Alain MADELIN,Madelin,Alain,MADELIN,,
person/1199,Person,1199,José Manuel TORRES COUTO,Torres Couto,José Manuel,TORRES COUTO,,
person/89,Person,89,Alain SAVARY,Savary,Alain,SAVARY,,
person/94,Person,94,Wolfgang SCHWABE,Schwabe,Wolfgang,SCHWABE,,
person/1791,Person,1791,Francisco Pinto BALSEMÃO,Balsemão,Francisco Pinto,BALSEMÃO,,
person/955,Person,955,Vassilis EPHREMIDIS,Ephremidis,Vassilis,EPHREMIDIS,Εφραιμίδης,Βασίλης
person/197499,Person,197499,Chrysoula ZACHAROPOULOU,Zacharopoulou,Chrysoula,ZACHAROPOULOU,,
person/907,Person,907,Gaetano CINGARI,Cingari,Gaetano,CINGARI,,
person/693,Person,693,Alphonsine M.J. PHLIX,PHLIX,Alphonsine M.J.,PHLIX,,
person/1853,Person,1853,Albert KOSLER,Kosler,Albert,KOSLER,,
person/473,Person,473,Roberto CANTALUPO,Cantalupo,Roberto,CANTALUPO,,
person/28508,Person,28508,Alyn SMITH,Smith,Alyn,SMITHALYN,,
person/4391,Person,4391,Silvio BERLUSCONI,Berlusconi,Silvio,BERLUSCONI,,
person/256889,Person,256889,Liesbet SOMMEN,Sommen,Liesbet,SOMMENL,,
person/257101,Person,257101,Cecilia STRADA,Strada,Cecilia,STRADAC,,
person/807,Person,807,Ioannis KATSAFADOS,Katsafados,Ioannis,KATSAFADOS,Κατσαφόδος,΄Ιοάννης
person/257095,Person,257095,Elena DONAZZAN,Donazzan,Elena,DONAZZANE,,
person/197461,Person,197461,Katrin LANGENSIEPEN,Langensiepen,Katrin,LANGENSIEPEN,,
person/4306,Person,4306,Gilles SAVARY,Savary,Gilles,SAVARYG,,
person/36394,Person,36394,Donato Tommaso VERALDI,Veraldi,Donato Tommaso,VERALDI,,
person/185340,Person,185340,Ivica TOLIĆ,Tolić,Ivica,TOLIC,,
person/197636,Person,197636,Ioan-Rareş BOGDAN,Bogdan,Ioan-Rareş,BOGDAN,,
person/1075,Person,1075,Klaus-Peter KÖHLER,Köhler,Klaus-Peter,KOEHLERK,,
person/190713,Person,190713,Lukas MANDL,Mandl,Lukas,MANDL,,
person/22282,Person,22282,Ole B. SØRENSEN,Sørensen,Ole B.,SORENSEN OLE,,
